iter	Passed	Remaining
425	2120	2856
426	2125	2851
427	2130	2847
428	2135	2842
429	2140	2837
430	2146	2833
431	2151	2828
432	2157	2824
433	2162	2820
434	2168	2817
435	2174	2812
436	2179	2807
437	2184	2803
438	2190	2799
439	2195	2794
440	2201	2790
441	2207	2786
442	2212	2782
443	2218	2777
444	2223	2773
445	2229	2768
446	2234	2763
447	2239	2759
448	2244	2754
449	2250	2750
450	2255	2745
451	2260	2740
452	2265	2735
453	2271	2731
454	2276	2726
455	2281	2722
456	2286	2717
457	2291	2712
458	2296	2707
459	2302	2702
460	2307	2697
461	2312	2693
462	2319	2690
463	2326	2687
464	2332	2683
465	2337	2678
466	2343	2674
467	2348	2669
468	2353	2664
469	2358	2660
470	2364	2655
471	2370	2651
472	2375	2646
473	2380	2641
474	2385	2637
475	2391	2632
476	2396	2628
477	2402	2623
478	2407	2618
479	2413	2614
480	2418	2609
481	2424	2605
482	2429	2600
483	2435	2596
484	2441	2592
485	2447	2588
486	2452	2583
487	2458	2579
488	2464	2575
489	2469	2570
490	2475	2565
491	2480	2560
492	2485	2556
493	2491	2551
494	2496	2546
495	2502	2542
496	2507	2537
497	2513	2533
498	2519	2529
499	2524	2524
500	2529	2519
501	2534	2514
502	2540	2509
503	2545	2504
504	2550	2500
505	2555	2495
506	2561	2490
507	2566	2485
508	2571	2481
509	2577	2476
510	2582	2471
511	2588	2466
512	2593	2461
513	2598	2457
514	2604	2452
515	2609	2447
516	2614	2442
517	2620	2438
518	2625	2433
519	2631	2429
520	2636	2424
521	2642	2419
522	2647	2414
523	2653	2410
524	2658	2405
525	2663	2400
526	2668	2395
527	2674	2390
528	2679	2385
529	2684	2380
530	2690	2375
531	2695	2371
532	2701	2366
533	2707	2362
534	2714	2359
535	2721	2355
536	2727	2351
537	2733	2347
538	2738	2342
539	2744	2337
540	2749	2332
541	2755	2328
542	2760	2323
543	2765	2318
544	2771	2313
545	2776	2308
546	2781	2303
547	2787	2299
548	2792	2294
549	2798	2289
550	2803	2284
551	2809	2279
552	2814	2274
553	2819	2270
554	2825	2265
555	2831	2260
556	2836	2255
557	2841	2251
558	2847	2246
559	2853	2241
560	2858	2236
561	2863	2231
562	2869	2227
563	2874	2222
564	2880	2217
565	2885	2212
566	2890	2207
567	2896	2202
568	2901	2197
569	2906	2192
570	2912	2187
571	2917	2182
572	2923	2178
573	2929	2173
574	2935	2169
575	2941	2165
576	2946	2160
577	2952	2155
578	2957	2150
579	2963	2145
580	2968	2141
581	2974	2136
582	2979	2130
583	2984	2126
584	2990	2121
585	2995	2116
586	3001	2111
587	3006	2106
588	3011	2101
589	3016	2096
590	3022	2091
591	3027	2086
592	3033	2082
593	3039	2077
594	3045	2072
595	3050	2067
596	3056	2063
597	3062	2058
598	3067	2053
599	3073	2048
600	3078	2043
601	3084	2038
602	3089	2034
603	3094	2029
604	3099	2023
605	3105	2018
606	3110	2013
607	3115	2008
608	3121	2003
609	3126	1999
610	3131	1993
611	3137	1989
612	3143	1984
613	3148	1979
614	3154	1974
615	3161	1970
616	3167	1966
617	3173	1961
618	3178	1956
619	3184	1951
620	3189	1946
621	3194	1941
622	3199	1936
623	3205	1931
624	3210	1926
625	3215	1921
626	3221	1916
627	3226	1911
628	3232	1906
629	3237	1901
630	3242	1896
631	3248	1891
632	3253	1886
633	3258	1881
634	3264	1876
635	3269	1871
636	3274	1866
637	3280	1861
638	3285	1856
639	3290	1851
640	3296	1846
641	3301	1840
642	3306	1835
643	3312	1830
644	3317	1825
645	3322	1820
646	3327	1815
647	3333	1810
648	3338	1805
649	3344	1800
650	3350	1795
651	3355	1791
652	3361	1786
653	3366	1781
654	3372	1776
655	3377	1770
656	3382	1765
657	3387	1760
658	3393	1755
659	3398	1750
660	3403	1745
661	3409	1740
662	3414	1735
663	3419	1730
664	3425	1725
665	3431	1720
666	3436	1715
667	3442	1711
668	3449	1706
669	3454	1701
670	3460	1696
671	3466	1692
672	3471	1686
673	3477	1682
674	3482	1676
675	3488	1671
676	3493	1666
677	3498	1661
678	3503	1656
679	3509	1651
680	3514	1646
681	3519	1641
682	3525	1636
683	3530	1631
684	3535	1625
685	3541	1621
686	3548	1616
687	3554	1612
688	3561	1607
689	3568	1603
690	3573	1598
691	3578	1592
692	3583	1587
693	3589	1582
694	3594	1577
695	3600	1572
696	3605	1567
697	3610	1562
698	3616	1557
699	3621	1552
700	3627	1547
701	3632	1541
702	3637	1536
703	3642	1531
704	3648	1526
705	3654	1521
706	3660	1516
707	3665	1511
708	3671	1506
709	3676	1501
710	3682	1496
711	3688	1491
712	3694	1487
713	3700	1482
714	3706	1477
715	3712	1472
716	3718	1467
717	3724	1462
718	3730	1457
719	3735	1452
720	3741	1447
721	3746	1442
722	3752	1437
723	3758	1432
724	3764	1427
725	3769	1422
726	3775	1417
727	3780	1412
728	3785	1407
729	3791	1402
730	3796	1397
731	3802	1392
732	3807	1387
733	3813	1381
734	3818	1376
735	3824	1371
736	3829	1366
737	3834	1361
738	3840	1356
739	3845	1351
740	3851	1346
741	3856	1340
742	3862	1335
743	3867	1330
744	3873	1325
745	3878	1320
746	3884	1315
747	3889	1310
748	3895	1305
749	3901	1300
750	3906	1295
751	3912	1290
752	3918	1285
753	3923	1280
754	3928	1274
755	3935	1270
756	3942	1265
757	3949	1260
758	3954	1255
759	3960	1250
760	3965	1245
761	3971	1240
762	3976	1235
763	3981	1229
764	3986	1224
765	3992	1219
766	3998	1214
767	4003	1209
768	4009	1204
769	4014	1199
770	4019	1194
771	4025	1188
772	4030	1183
773	4036	1178
774	4041	1173
775	4047	1168
776	4053	1163
777	4058	1158
778	4064	1153
779	4070	1147
780	4075	1142
781	4080	1137
782	4085	1132
783	4091	1127
784	4096	1122
785	4101	1116
786	4111	1112
787	4116	1107
788	4122	1102
789	4127	1097
790	4133	1092
791	4139	1087
792	4144	1081
793	4150	1076
794	4156	1071
795	4162	1066
796	4168	1061
797	4173	1056
798	4179	1051
799	4185	1046
800	4190	1041
801	4195	1035
802	4201	1030
803	4207	1025
804	4213	1020
805	4219	1015
806	4225	1010
807	4230	1005
808	4238	1000
809	4244	995
810	4251	990
811	4257	985
812	4263	980
813	4269	975
814	4274	970
815	4280	965
816	4286	960
817	4292	954
818	4297	949
819	4303	944
820	4309	939
821	4316	934
822	4323	929
823	4329	924
824	4335	919
825	4341	914
826	4347	909
827	4353	904
828	4359	899
829	4365	894
830	4370	888
831	4376	883
832	4382	878
833	4388	873
834	4393	868
835	4400	863
836	4406	858
837	4412	853
838	4418	847
839	4423	842
840	4429	837
841	4434	832
842	4440	826
843	4445	821
844	4451	816
845	4456	811
846	4462	806
847	4468	800
848	4473	795
849	4479	790
850	4484	785
851	4489	779
852	4494	774
853	4500	769
854	4505	764
855	4511	758
856	4516	753
857	4522	748
858	4528	743
859	4533	738
860	4539	732
861	4544	727
862	4549	722
863	4555	717
864	4560	711
865	4567	706
866	4572	701
867	4578	696
868	4584	691
869	4590	685
870	4595	680
871	4601	675
872	4606	670
873	4612	664
874	4617	659
875	4623	654
876	4628	649
877	4634	643
878	4639	638
879	4645	633
880	4650	628
881	4655	622
882	4662	617
883	4668	612
884	4674	607
885	4679	602
886	4685	596
887	4691	591
888	4697	586
889	4704	581
890	4711	576
891	4717	571
892	4722	565
893	4728	560
894	4733	555
895	4739	550
896	4744	544
897	4749	539
898	4755	534
899	4760	528
900	4765	523
901	4771	518
902	4776	513
903	4782	507
904	4787	502
905	4793	497
906	4799	492
907	4804	486
908	4810	481
909	4815	476
910	4821	470
911	4826	465
912	4832	460
913	4837	455
914	4842	449
915	4848	444
916	4854	439
917	4859	434
918	4865	428
919	4871	423
920	4877	418
921	4882	413
922	4889	407
923	4894	402
924	4900	397
925	4905	392
926	4911	386
927	4916	381
928	4921	376
929	4927	370
930	4932	365
931	4938	360
932	4943	355
933	4949	349
934	4954	344
935	4959	339
936	4965	333
937	4970	328
938	4975	323
939	4981	317
940	4987	312
941	4992	307
942	4998	302
943	5004	296
944	5010	291
945	5015	286
946	5021	281
947	5026	275
948	5031	270
949	5036	265
950	5042	259
951	5048	254
952	5054	249
953	5059	243
954	5065	238
955	5071	233
956	5076	228
957	5082	222
958	5088	217
959	5093	212
960	5099	206
961	5104	201
962	5110	196
963	5117	191
964	5123	185
965	5129	180
966	5134	175
967	5139	169
968	5145	164
969	5150	159
970	5156	153
971	5161	148
972	5167	143
973	5172	138
974	5177	132
975	5182	127
976	5188	122
977	5193	116
978	5200	111
979	5205	106
980	5210	100
981	5216	95
982	5221	90
983	5226	84
984	5231	79
985	5237	74
986	5242	69
987	5248	63
988	5253	58
989	5258	53
990	5264	47
991	5269	42
992	5275	37
993	5280	31
994	5285	26
995	5291	21
996	5296	15
997	5302	10
998	5308	5
999	5313	0
